,country,continent
0,Algeria,Africa
1,Angola,Africa
2,Benin,Africa
3,Botswana,Africa
4,Burkina,Africa
5,Burundi,Africa
6,Cameroon,Africa
7,Cape Verde,Africa
8,Central African Republic,Africa
9,Chad,Africa
10,Comoros,Africa
11,Congo,Africa
12,"Congo, Democratic Republic of",Africa
13,Djibouti,Africa
14,Egypt,Africa
15,Equatorial Guinea,Africa
16,Eritrea,Africa
17,Ethiopia,Africa
18,Gabon,Africa
19,Gambia,Africa
20,Ghana,Africa
21,Guinea,Africa
22,Guinea-Bissau,Africa
23,Ivory Coast,Africa
24,Kenya,Africa
25,Lesotho,Africa
26,Liberia,Africa
27,Libya,Africa
28,Madagascar,Africa
29,Malawi,Africa
30,Mali,Africa
31,Mauritania,Africa
32,Mauritius,Africa
33,Morocco,Africa
34,Mozambique,Africa
35,Namibia,Africa
36,Niger,Africa
37,Nigeria,Africa
38,Rwanda,Africa
39,Sao Tome and Principe,Africa
40,Senegal,Africa
41,Seychelles,Africa
42,Sierra Leone,Africa
43,Somalia,Africa
44,South Africa,Africa
45,South Sudan,Africa
46,Sudan,Africa
47,Swaziland,Africa
48,Tanzania,Africa
49,Togo,Africa
50,Tunisia,Africa
51,Uganda,Africa
52,Zambia,Africa
53,Zimbabwe,Africa
54,Afghanistan,Asia
55,Bahrain,Asia
56,Bangladesh,Asia
57,Bhutan,Asia
58,Brunei,Asia
59,Burma (Myanmar),Asia
60,Cambodia,Asia
61,China,Asia
62,East Timor,Asia
63,India,Asia
64,Indonesia,Asia
65,Iran,Asia
66,Iraq,Asia
67,Israel,Asia
68,Japan,Asia
69,Jordan,Asia
70,Kazakhstan,Asia
71,"Korea, North",Asia
72,"Korea, South",Asia
73,Kuwait,Asia
74,Kyrgyzstan,Asia
75,Laos,Asia
76,Lebanon,Asia
77,Malaysia,Asia
78,Maldives,Asia
79,Mongolia,Asia
80,Nepal,Asia
81,Oman,Asia
82,Pakistan,Asia
83,Philippines,Asia
84,Qatar,Asia
85,Russian Federation,Asia
86,Saudi Arabia,Asia
87,Singapore,Asia
88,Sri Lanka,Asia
89,Syria,Asia
90,Tajikistan,Asia
91,Thailand,Asia
92,Turkey,Asia
93,Turkmenistan,Asia
94,United Arab Emirates,Asia
95,Uzbekistan,Asia
96,Vietnam,Asia
97,Yemen,Asia
98,Albania,Europe
99,Andorra,Europe
100,Armenia,Europe
101,Austria,Europe
102,Azerbaijan,Europe
103,Belarus,Europe
104,Belgium,Europe
105,Bosnia and Herzegovina,Europe
106,Bulgaria,Europe
107,Croatia,Europe
108,Cyprus,Europe
109,CZ,Europe
110,Denmark,Europe
111,Estonia,Europe
112,Finland,Europe
113,France,Europe
114,Georgia,Europe
115,Germany,Europe
116,Greece,Europe
117,Hungary,Europe
118,Iceland,Europe
119,Ireland,Europe
120,Italy,Europe
121,Latvia,Europe
122,Liechtenstein,Europe
123,Lithuania,Europe
124,Luxembourg,Europe
125,Macedonia,Europe
126,Malta,Europe
127,Moldova,Europe
128,Monaco,Europe
129,Montenegro,Europe
130,Netherlands,Europe
131,Norway,Europe
132,Poland,Europe
133,Portugal,Europe
134,Romania,Europe
135,San Marino,Europe
136,Serbia,Europe
137,Slovakia,Europe
138,Slovenia,Europe
139,Spain,Europe
140,Sweden,Europe
141,Switzerland,Europe
142,Ukraine,Europe
143,United Kingdom,Europe
144,Vatican City,Europe
145,Antigua and Barbuda,North America
146,Bahamas,North America
147,Barbados,North America
148,Belize,North America
149,Canada,North America
150,Costa Rica,North America
151,Cuba,North America
152,Dominica,North America
153,Dominican Republic,North America
154,El Salvador,North America
155,Grenada,North America
156,Guatemala,North America
157,Haiti,North America
158,Honduras,North America
159,Jamaica,North America
160,Mexico,North America
161,Nicaragua,North America
162,Panama,North America
163,Saint Kitts and Nevis,North America
164,Saint Lucia,North America
165,Saint Vincent and the Grenadines,North America
166,Trinidad and Tobago,North America
167,US,North America
168,Australia,Oceania
169,Fiji,Oceania
170,Kiribati,Oceania
171,Marshall Islands,Oceania
172,Micronesia,Oceania
173,Nauru,Oceania
174,New Zealand,Oceania
175,Palau,Oceania
176,Papua New Guinea,Oceania
177,Samoa,Oceania
178,Solomon Islands,Oceania
179,Tonga,Oceania
180,Tuvalu,Oceania
181,Vanuatu,Oceania
182,Argentina,South America
183,Bolivia,South America
184,Brazil,South America
185,Chile,South America
186,Colombia,South America
187,Ecuador,South America
188,Guyana,South America
189,Paraguay,South America
190,Peru,South America
191,Suriname,South America
192,Uruguay,South America
193,Venezuela,South America
